aX,aY,aZ,gX,gY,gZ
2.149,-0.296,-0.261,-58.289,59.326,0.732
2.133,-0.401,-0.332,-60.547,59.448,14.282
2.060,-0.475,-0.318,-63.232,48.706,33.325
1.970,-0.520,-0.251,-67.322,34.180,53.101
1.906,-0.550,-0.288,-71.106,21.362,72.876
1.817,-0.558,-0.375,-73.853,9.155,92.834
1.678,-0.477,-0.486,-75.195,-9.766,111.511
1.505,-0.305,-0.544,-76.599,-41.443,123.108
1.081,-0.167,-0.589,-80.383,-81.604,100.586
0.294,0.228,-0.379,-70.435,-143.433,77.698
0.659,0.262,-0.442,-60.242,-139.954,46.997
0.435,-0.469,-0.249,-53.528,-139.038,19.165
-0.032,-0.162,-0.719,-54.443,-123.596,54.871
-0.131,0.059,-0.352,-14.771,-140.808,83.618
-0.100,-0.068,0.098,26.917,-129.944,106.812
-0.206,-0.148,0.037,50.232,-71.838,118.347
-0.399,-0.103,0.186,49.927,-80.811,124.451
-0.556,0.002,0.421,50.110,-87.219,129.395
-0.599,0.057,0.558,62.988,-79.407,124.268
-0.635,0.141,0.687,82.397,-62.805,113.281
-0.647,0.297,0.766,99.182,-42.847,106.079
-0.664,0.458,0.772,114.136,-21.423,97.656
-0.631,0.566,0.847,126.709,-3.723,82.031
-0.559,0.592,0.942,133.728,12.939,58.533
-0.475,0.534,0.900,129.578,32.959,33.142
-0.370,0.496,0.745,112.854,49.438,14.221
-0.308,0.415,0.659,92.163,53.894,4.333
-0.213,0.348,0.720,69.336,47.852,-0.366
-0.133,0.275,0.734,42.114,44.556,-3.052
-0.010,0.250,0.558,14.709,48.523,-3.540
0.050,0.366,0.285,-14.526,53.406,0.122
0.058,0.631,0.055,-37.903,53.528,3.235
0.083,0.922,-0.127,-47.791,51.514,-5.798
0.118,1.021,-0.277,-44.678,51.025,-35.217
0.209,0.835,-0.377,-28.442,52.734,-74.463
0.292,0.538,-0.430,-4.150,55.603,-108.459
0.453,0.211,-0.439,18.982,56.946,-130.981
0.698,-0.091,-0.380,39.490,53.406,-144.775
0.875,-0.410,-0.317,47.485,46.570,-150.513
0.932,-0.644,-0.296,42.419,39.429,-143.250
0.971,-0.658,-0.315,35.461,35.156,-91.492
0.938,-0.434,-0.298,25.146,26.855,-64.758
0.948,-0.302,-0.232,24.719,21.240,-45.654
0.974,-0.242,-0.167,25.574,16.174,-36.011
1.011,-0.262,-0.104,26.123,13.794,-32.166
1.045,-0.323,-0.045,26.184,13.977,-27.344
1.083,-0.382,0.000,24.963,14.832,-21.362
1.124,-0.412,0.050,22.766,14.771,-13.123
1.140,-0.446,0.085,20.142,15.503,-4.211
1.146,-0.421,0.075,15.747,15.442,4.456
1.137,-0.334,-0.049,6.836,9.521,14.404
1.088,-0.214,-0.053,7.324,5.005,12.939
1.092,-0.232,-0.068,9.949,1.892,10.315
1.089,-0.224,-0.044,12.573,-0.671,10.925
1.078,-0.170,0.019,13.672,-3.601,14.587
1.051,-0.113,0.041,11.841,-5.310,17.456
1.025,-0.050,0.039,9.888,-5.005,20.325
0.983,0.013,0.051,8.545,-4.822,23.499
0.937,0.070,0.089,7.751,-4.211,25.940
0.906,0.126,0.129,4.822,-3.845,26.917
0.899,0.178,0.119,-0.610,-2.380,25.391
0.880,0.199,0.074,-5.249,0.854,22.095
0.900,0.201,-0.042,-6.409,4.395,17.822
0.907,0.159,-0.060,-3.906,3.113,13.000
0.932,0.197,-0.062,2.319,3.296,12.085
0.941,0.187,-0.115,8.240,6.897,8.545
0.948,0.092,-0.095,15.930,6.042,2.197
0.971,0.027,-0.012,21.729,3.662,0.183
0.986,-0.035,0.040,22.949,3.113,-1.160
1.001,-0.113,0.049,18.005,-14.160,0.549
0.996,-0.063,0.104,-2.136,-9.033,7.751
0.935,0.078,0.143,-13.916,-13.062,14.343
0.886,0.231,0.155,-21.301,-14.160,15.686
0.871,0.316,0.178,-23.315,-12.817,10.681
0.902,0.257,0.163,-19.592,-7.812,0.916
0.959,0.125,0.097,-13.306,-1.770,-7.507
1.006,0.024,0.027,-6.653,3.723,-10.376
1.027,-0.033,0.021,-1.038,4.456,-8.179
1.034,-0.087,0.085,3.906,2.808,-4.456
1.026,-0.108,0.143,4.944,1.648,0.122
0.998,-0.036,0.133,-0.977,2.441,7.263
0.962,0.064,0.070,-8.301,4.089,12.268
0.947,0.123,0.013,-11.658,2.136,5.920
1.011,0.057,-0.021,-4.150,1.831,0.488
1.042,-0.000,-0.001,1.099,1.892,-1.831
1.050,-0.030,0.050,4.211,0.427,-1.038
1.032,-0.026,0.091,3.540,-0.916,2.136
1.002,0.013,0.122,1.282,-1.404,5.920
0.978,0.060,0.133,-1.526,-2.014,8.545
0.958,0.105,0.122,-3.845,-2.075,8.911
0.946,0.146,0.082,-5.066,-0.671,7.568
0.955,0.151,0.023,-3.906,1.343,4.944
0.979,0.145,0.007,-0.427,1.160,1.709
0.991,0.122,0.051,3.418,-0.244,-0.793
0.995,0.079,0.090,5.005,0.183,-2.014
1.003,0.051,0.106,4.150,1.526,-1.953
1.000,0.054,0.096,1.526,2.380,-0.671
0.984,0.090,0.072,-3.906,3.601,1.221
0.981,0.065,-0.001,-1.953,4.517,-0.183
0.994,0.048,-0.022,1.221,4.700,0.244
0.991,0.061,-0.018,3.601,4.150,1.831
0.981,0.102,0.020,4.150,2.258,3.723
0.978,0.122,0.066,3.357,0.061,3.479
0.967,0.122,0.092,1.526,-1.221,1.526
0.967,0.125,0.081,0.122,-1.099,-0.061
0.968,0.131,0.054,0.549,0.000,-1.221
0.973,0.119,0.041,2.014,0.427,-2.563
0.983,0.094,0.036,5.127,0.671,-4.211
0.996,0.062,0.044,7.141,0.732,-5.188
1.005,0.023,0.052,7.935,0.244,-5.615
1.010,-0.001,0.060,7.446,-0.488,-4.639
1.009,0.008,0.073,6.409,-1.099,-2.686
1.000,0.038,0.081,4.089,-2.319,-1.404
0.983,0.074,0.069,1.587,-2.991,-0.916
0.970,0.092,0.035,0.916,-2.686,-1.709
0.977,0.087,-0.002,2.380,-2.136,-3.357
0.999,0.057,-0.020,5.737,-2.258,-5.798
1.009,0.020,-0.005,10.315,-2.686,-6.592
1.021,-0.009,0.028,14.282,-2.930,-5.737
2.281,-0.367,-0.188,37.964,6.104,-91.736
2.356,-0.559,-0.049,33.691,3.113,-88.440
2.372,-0.715,0.057,20.874,2.625,-75.317
2.318,-0.783,0.078,3.723,4.822,-54.810
2.239,-0.740,0.011,-14.404,6.897,-31.250
2.167,-0.593,-0.141,-32.532,5.066,-10.803
2.087,-0.451,-0.327,-47.852,-2.991,0.854
2.021,-0.322,-0.433,-59.509,-15.442,5.615
2.000,-0.220,-0.437,-63.599,-26.428,7.568
2.006,-0.239,-0.329,-56.030,-29.480,5.554
1.997,-0.331,-0.226,-38.330,-25.208,-1.099
1.944,-0.520,-0.022,-33.691,-23.376,-10.681
1.849,-0.709,0.031,-45.776,-19.775,-12.207
1.672,-0.736,-0.113,-64.819,-15.015,-5.798
1.468,-0.581,-0.273,-93.201,-20.447,-4.333
1.038,-0.412,-0.487,-143.982,-47.302,-16.663
0.812,-0.444,-0.603,-147.949,-48.706,-27.893
0.561,-0.411,-0.687,-139.709,-37.720,-26.428
0.423,-0.284,-0.763,-110.046,-21.790,-12.024
0.396,-0.216,-0.686,-65.979,-16.663,4.578
0.441,-0.254,-0.507,-25.391,-24.414,14.771
0.320,-0.365,-0.333,-7.874,-33.752,19.226
0.182,-0.340,-0.190,-4.028,-37.170,29.419
0.117,-0.201,-0.053,-0.671,-37.964,50.964
0.017,-0.064,0.080,3.906,-39.917,74.097
0.023,0.053,0.195,16.663,-43.762,86.365
0.045,0.123,0.309,41.321,-45.837,85.693
0.076,0.181,0.409,72.876,-42.542,80.566
0.162,0.307,0.509,109.802,-35.217,78.003
0.255,0.369,0.635,145.447,-25.330,74.463
0.343,0.259,0.622,176.514,-8.789,65.125
0.325,0.029,0.516,198.120,10.681,57.556
0.309,-0.068,0.524,212.585,20.691,77.393
0.398,-0.125,0.774,226.013,14.893,70.923
0.412,-0.277,0.877,230.103,15.381,69.153
0.432,-0.351,1.019,235.291,19.409,73.242
0.471,-0.350,1.173,239.929,28.503,84.656
0.514,-0.363,1.222,240.356,39.551,93.750
0.541,-0.322,1.198,229.065,45.898,98.755
0.516,-0.225,1.270,205.872,38.269,100.830
0.462,-0.137,1.456,171.692,20.142,106.018
0.406,0.155,1.612,123.169,9.644,118.530
0.276,0.555,1.528,64.758,21.545,129.883
0.168,0.930,1.025,13.123,55.664,132.385
0.037,1.264,0.365,-22.461,88.684,125.977
-0.005,1.526,-0.144,-38.574,99.854,108.887
0.007,1.631,-0.406,-38.635,89.783,79.529
0.057,1.556,-0.467,-31.799,74.951,43.945
0.147,1.359,-0.555,-18.860,69.153,8.911
0.230,1.090,-0.676,-0.244,68.848,-20.691
0.313,0.870,-0.659,18.555,64.636,-42.786
0.431,0.617,-0.545,48.401,50.293,-76.538
0.634,0.157,-0.270,51.270,49.805,-83.313
0.717,-0.035,-0.249,49.072,54.138,-85.022
0.800,-0.227,-0.293,46.265,57.556,-83.008
0.835,-0.350,-0.332,41.504,56.274,-75.867
0.827,-0.345,-0.327,27.161,51.270,-62.500
0.829,-0.338,-0.409,8.972,48.645,-48.279
0.805,-0.260,-0.528,-8.850,43.152,-34.119
0.786,-0.097,-0.614,-27.405,31.799,-20.203
0.768,0.027,-0.633,-39.307,7.568,-12.085
0.798,0.003,-0.487,-36.682,0.488,-13.428
0.800,-0.011,-0.367,-31.372,-2.197,-13.184
0.804,-0.058,-0.344,-27.222,0.122,-12.451
0.858,-0.178,-0.404,-16.602,5.920,-14.221
0.910,-0.276,-0.473,-5.310,8.423,-13.489
0.931,-0.275,-0.525,0.427,7.629,-8.789
0.915,-0.186,-0.536,2.625,3.235,-3.418
0.880,-0.075,-0.477,4.150,-2.747,-1.831
0.860,0.002,-0.372,5.188,-8.484,-3.052
0.874,0.008,-0.302,6.042,-11.658,-7.690
0.873,-0.015,-0.253,2.991,-12.878,-11.353
0.860,0.003,-0.251,-10.193,-14.709,-13.611
0.890,-0.054,-0.291,-11.536,-15.320,-16.724
0.938,-0.114,-0.314,-11.841,-17.273,-17.822
0.973,-0.152,-0.289,-8.850,-20.935,-15.686
0.981,-0.142,-0.211,-5.432,-25.513,-11.047
0.997,-0.140,-0.116,-2.136,-27.222,-1.709
0.995,-0.137,-0.031,-6.470,-24.353,4.089
0.958,-0.069,-0.038,-14.160,-20.874,11.292
0.925,0.033,-0.067,-21.606,-16.968,17.273
0.926,0.049,-0.113,-23.071,-13.123,17.395
0.963,-0.039,-0.137,-1.465,-12.634,9.521
1.030,-0.263,-0.081,-12.146,-13.123,12.512
1.038,-0.292,-0.080,-15.991,-11.536,21.545
1.033,-0.220,-0.087,-21.118,-11.414,33.508
0.976,-0.063,-0.077,-28.809,-14.709,44.189
0.906,0.109,-0.016,-32.898,-20.325,50.293
0.840,0.254,0.082,-31.677,-25.269,51.147
0.774,0.410,0.165,-31.250,-25.696,47.546
0.782,0.537,0.203,-30.762,-17.517,38.818
0.837,0.324,0.144,-20.630,-2.380,17.517
0.938,-0.093,0.017,-4.578,11.475,-4.333
1.024,-0.392,-0.057,1.465,14.709,-8.301
1.075,-0.544,-0.124,-1.770,10.803,3.357
1.078,-0.509,-0.207,-10.254,3.540,22.156
0.990,-0.367,-0.253,-23.315,-8.301,41.748
0.883,-0.163,-0.205,-31.250,-23.743,59.021
0.808,0.078,-0.106,-27.832,-39.185,70.801
0.783,0.339,-0.025,-22.400,-51.147,74.463
0.761,0.521,0.042,-23.987,-55.786,67.627
0.770,0.566,0.125,-21.667,-53.345,52.795
0.799,0.518,0.163,-13.062,-43.945,36.133
0.820,0.400,0.240,-5.798,-31.128,21.362
0.853,0.283,0.238,12.512,-9.155,5.676
0.997,-0.022,0.138,5.127,-14.221,2.197
1.074,-0.080,0.010,-11.230,-19.470,3.723
1.067,0.020,-0.073,-26.062,-24.902,12.085
1.037,0.237,-0.127,-34.546,-24.841,20.508
0.962,0.442,-0.192,-28.381,-14.954,22.156
0.901,0.602,-0.185,0.732,-5.920,17.395
0.900,0.686,-0.056,39.307,2.563,8.118
0.944,0.570,0.152,73.486,12.573,-6.165
1.020,0.253,0.218,85.266,24.475,-23.376
1.135,-0.057,0.151,64.148,32.104,-33.142
1.179,-0.195,-0.007,26.794,30.640,-28.137
1.163,-0.066,-0.161,-9.521,23.254,-10.315
1.105,0.151,-0.262,-33.936,12.329,7.080
1.064,0.289,-0.226,-41.016,-0.366,13.306
-0.725,-0.353,2.303,217.102,-121.155,164.062
-0.725,0.251,2.990,156.677,-114.502,176.880
-0.551,0.855,2.895,66.406,-64.880,176.270
-0.440,1.176,2.062,-27.222,4.395,160.583
-0.415,1.350,1.043,-95.886,60.120,137.024
-0.396,1.519,0.237,-129.761,84.839,111.755
-0.346,1.658,-0.331,-136.841,88.318,82.092
-0.284,1.714,-0.759,-119.629,88.318,48.157
-0.200,1.621,-1.086,-80.017,87.708,11.780
-0.115,1.427,-1.214,-35.095,82.642,-25.757
0.045,1.017,-1.055,9.094,66.956,-66.284
0.234,0.456,-0.718,42.358,48.706,-103.821
0.467,-0.076,-0.478,60.974,42.175,-127.014
0.680,-0.513,-0.452,65.979,47.729,-132.141
0.872,-0.840,-0.523,63.721,53.833,-123.230
1.024,-1.017,-0.589,59.509,51.941,-104.309
1.091,-1.024,-0.609,54.260,44.739,-79.346
1.098,-0.869,-0.565,48.279,34.851,-53.223
1.072,-0.630,-0.523,40.527,25.024,-32.837
1.040,-0.424,-0.464,32.410,16.052,-21.423
1.037,-0.324,-0.370,25.391,7.935,-17.273
