aX,aY,aZ,gX,gY,gZ
-1.299,0.510,0.964,65.002,-131.409,178.650
-1.443,0.565,1.015,76.355,-137.939,178.528
-1.574,0.601,1.143,81.482,-151.184,173.950
-1.708,0.647,1.130,85.571,-162.354,163.818
-1.766,0.704,1.156,89.417,-177.002,150.269
-1.765,0.693,1.160,94.543,-180.786,132.446
-1.926,0.619,0.634,-2.625,-184.631,115.784
-1.798,0.934,0.771,-255.676,-222.839,104.492
-1.615,1.125,0.947,-229.553,-215.820,74.951
-1.566,1.086,0.887,61.279,-170.288,14.160
-1.659,0.903,0.787,273.743,-146.057,-67.566
-1.741,0.833,0.813,209.839,-133.484,-136.780
-1.803,0.904,0.959,27.222,-122.742,-195.068
-1.872,0.947,1.070,61.462,-70.801,-321.777
-2.017,0.739,0.995,156.067,-24.719,-386.414
-2.161,0.620,0.950,152.588,20.996,-448.303
-2.350,0.529,0.935,99.792,64.514,-507.080
-2.459,0.448,0.895,88.196,107.971,-555.481
-2.443,0.354,0.793,134.338,154.175,-592.773
-2.540,0.225,0.656,182.312,202.454,-632.996
-2.753,0.076,0.538,179.810,247.009,-677.368
-2.916,-0.020,0.444,145.081,279.480,-701.538
-3.054,-0.109,0.360,116.394,302.856,-719.604
-3.243,-0.214,0.259,103.760,324.219,-739.197
-3.364,-0.318,0.160,96.252,336.914,-748.047
-3.313,-0.409,0.074,89.111,335.754,-741.394
-3.147,-0.462,-0.000,79.163,329.102,-721.924
-2.995,-0.521,-0.081,70.068,324.036,-710.999
-2.873,-0.600,-0.168,57.129,316.711,-712.036
-2.778,-0.685,-0.239,22.400,299.622,-715.637
-2.666,-0.770,-0.281,-32.898,270.630,-719.299
-2.645,-0.851,-0.279,-96.985,230.286,-722.656
-2.390,-0.944,-0.291,-161.499,178.894,-720.459
-2.255,-1.027,-0.257,-221.436,116.943,-708.923
-2.061,-1.101,-0.190,-265.747,49.744,-680.542
-1.861,-1.177,-0.136,-282.898,-16.174,-593.994
-1.687,-1.250,-0.068,-309.387,-137.451,-541.260
-1.577,-1.272,0.170,-343.567,-190.979,-475.952
-1.571,-1.254,0.307,-347.046,-243.530,-423.279
-1.555,-1.252,0.424,-316.956,-294.312,-379.272
-1.521,-1.260,0.517,-284.180,-338.684,-337.097
-1.471,-1.260,0.613,-275.696,-372.986,-294.312
-1.428,-1.224,0.717,-291.382,-398.132,-242.432
-1.405,-1.157,0.829,-306.885,-417.725,-184.570
-1.347,-1.093,0.933,-293.396,-434.875,-126.587
-1.277,-1.035,1.026,-246.277,-447.266,-66.467
-1.275,-0.970,1.091,-185.364,-445.740,-5.066
-1.384,-0.891,1.123,-138.306,-430.115,51.208
-1.494,-0.802,1.155,-121.277,-414.734,96.619
-1.527,-0.707,1.206,-119.995,-406.799,134.094
-1.561,-0.601,1.265,-111.267,-399.597,168.213
-1.575,-0.522,1.295,-85.510,-385.071,189.819
-1.532,-0.468,1.331,-62.134,-370.361,200.378
-1.181,-0.402,1.350,-34.302,-360.046,220.764
-1.300,-0.289,1.489,-16.907,-361.328,222.412
-2.232,-0.177,1.332,26.245,-288.696,237.366
-2.557,-0.138,1.314,102.661,-303.162,219.360
-2.455,-0.253,1.369,153.687,-352.966,157.715
-2.378,-0.226,1.442,96.802,-340.271,123.535
-2.285,-0.161,1.510,17.029,-295.959,101.379
-2.066,-0.166,1.571,-1.465,-257.507,64.575
-1.728,-0.147,1.630,6.226,-219.177,49.255
-1.439,-0.104,1.672,15.991,-170.410,46.936
-1.302,-0.095,1.676,23.926,-113.342,29.541
