aX,aY,aZ,gX,gY,gZ
-0.645,1.072,0.799,8.606,-43.335,-180.603
-0.378,0.896,1.103,59.631,-72.144,-270.325
-0.271,0.682,1.434,55.115,-73.181,-310.547
-0.317,0.355,1.257,28.748,-28.809,-322.998
-0.252,0.031,1.053,8.240,10.315,-308.167
-0.141,-0.206,1.034,-2.563,20.142,-291.199
-0.004,-0.349,1.109,-23.254,20.569,-276.428
-0.004,-0.385,1.126,-52.002,28.687,-258.118
-0.031,-0.448,1.023,-75.012,37.476,-236.877
-0.059,-0.428,0.900,-70.496,38.025,-220.032
0.124,-0.530,0.907,-42.664,32.166,-206.482
0.189,-0.581,0.985,-23.376,27.588,-189.087
0.249,-0.645,0.972,-24.536,29.480,-165.833
0.310,-0.758,0.953,-33.020,29.663,-140.503
0.367,-0.939,1.034,-31.433,23.315,-110.779
0.469,-1.168,1.117,-16.968,23.010,-71.350
0.552,-1.308,1.183,2.930,46.021,37.476
0.482,-1.332,1.003,18.433,49.194,108.154
0.415,-1.046,1.064,-3.601,40.527,180.786
0.339,-0.830,0.967,-16.052,47.913,233.643
0.260,-0.570,0.891,-32.654,57.739,269.653
0.210,-0.402,0.841,-39.368,65.918,291.687
0.216,-0.257,0.726,-29.236,72.815,303.528
0.187,-0.185,0.691,-18.982,71.594,306.702
0.076,-0.159,0.750,-11.169,63.782,322.693
-0.184,0.097,0.994,-3.052,46.448,333.923
-0.306,0.341,1.117,-5.188,45.044,338.379
-0.447,0.605,1.113,-4.822,52.307,335.083
-0.718,1.745,0.996,-2.075,72.815,319.824
-0.422,1.208,0.433,-10.132,73.608,241.272
-0.535,1.322,0.815,41.321,-22.095,173.828
-0.373,1.390,1.035,66.650,-34.485,160.583
-0.248,1.588,0.790,64.087,-10.193,114.197
-0.273,1.939,0.661,60.974,-7.080,53.955
-0.458,2.063,0.823,85.449,-28.931,-20.447
-0.536,2.046,0.721,112.427,-36.194,-96.619
-0.571,1.787,0.574,133.972,-35.156,-172.607
-0.574,1.256,0.758,168.396,-53.406,-245.667
-0.499,0.653,0.978,192.261,-66.406,-300.110
-0.313,0.183,1.019,180.969,-57.678,-331.482
-0.220,-0.177,0.991,145.264,-43.640,-342.041
-0.253,-0.315,0.971,100.647,-34.424,-338.623
-0.231,-0.349,1.014,69.214,-29.358,-329.895
-0.179,-0.448,1.112,53.833,-24.353,-320.862
-0.149,-0.577,1.174,40.344,-12.878,-311.768
-0.102,-0.736,1.207,19.836,0.854,-297.485
-0.039,-0.931,1.242,0.244,13.306,-276.917
0.093,-1.265,1.242,-5.737,23.376,-250.366
0.266,-1.617,1.212,-2.197,32.532,-212.952
0.386,-2.000,1.103,2.869,37.781,-160.461
0.497,-2.222,0.990,13.428,37.720,-96.130
0.531,-2.240,0.895,23.376,32.715,-20.142
0.455,-2.033,0.937,26.245,25.635,59.875
0.416,-1.740,0.990,11.719,24.231,134.338
0.246,-1.345,0.870,-27.466,30.151,193.909
0.074,-0.974,0.706,-65.002,34.119,236.023
0.005,-0.709,0.567,-79.224,31.738,262.085
-0.044,-0.459,0.537,-76.843,22.217,279.358
-0.092,-0.236,0.631,-67.566,10.010,289.368
-0.133,0.003,0.742,-58.044,2.380,293.579
-0.196,0.236,0.854,-50.110,-1.831,291.931
-0.221,0.432,1.016,-37.231,-5.554,283.875
-0.553,0.543,1.569,-19.287,-8.484,271.118
-0.041,0.666,0.932,-17.273,25.146,257.446
-0.370,0.818,1.295,-25.208,6.531,233.276
-0.319,1.021,1.141,-27.344,-0.549,213.196
-0.194,1.052,0.878,-23.010,12.817,173.706
-0.134,1.083,0.744,-9.766,13.245,133.179
-0.134,1.045,0.825,11.719,0.732,91.553
-0.026,0.696,0.853,44.495,-5.615,21.179
0.005,0.522,1.011,52.795,-17.517,-1.892
0.049,0.323,1.010,53.345,-15.442,-16.174
0.091,0.115,1.004,55.420,-7.996,-24.658
0.159,-0.059,1.023,64.514,-7.385,-26.917
0.186,-0.191,1.073,71.289,-6.104,-23.804
0.204,-0.265,1.065,68.970,-4.089,-16.235
0.204,-0.265,1.058,58.472,-2.625,-7.385
0.203,-0.253,1.033,45.471,-2.136,-0.671
0.186,-0.216,1.036,32.593,-3.418,3.479
0.190,-0.183,0.996,19.165,-3.784,4.395
0.164,-0.152,1.015,8.179,-6.592,2.686
0.154,-0.140,1.037,-0.061,-8.545,0.183
0.150,-0.120,1.039,-6.958,-7.446,-1.587
0.145,-0.099,1.031,-12.573,-5.432,-2.441
0.169,-0.094,1.014,-15.991,-3.906,-2.930
0.135,-0.093,1.031,-18.005,-5.493,-3.052
0.131,-0.057,1.060,-20.447,-7.080,-1.160
0.116,-0.001,1.008,-21.057,-3.662,0.000
0.114,0.010,0.988,-17.456,-3.113,0.549
0.115,0.045,0.990,-14.893,-2.747,0.916
0.110,0.061,1.001,-12.329,-2.991,0.000
0.115,0.061,1.006,-9.949,-3.418,-1.709
0.119,0.051,0.999,-8.606,-3.235,-3.357
0.125,0.043,0.990,-5.859,-4.150,-6.836
0.140,-0.006,1.015,-5.005,-4.578,-8.057
0.144,-0.028,1.013,-4.517,-4.089,-8.301
0.145,-0.043,1.010,-4.761,-3.479,-7.629
0.146,-0.056,1.022,-4.456,-3.052,-6.104
0.149,-0.065,1.036,-3.784,-2.380,-4.211
0.148,-0.043,0.988,-3.784,1.892,0.183
0.136,-0.024,0.991,-2.930,1.343,2.380
0.131,-0.004,1.004,-2.441,-0.244,3.906
0.123,0.014,1.016,-2.075,-0.671,4.333
0.121,0.024,1.008,-1.892,-0.061,3.967
0.118,0.029,1.001,-1.099,-0.122,3.357
0.126,0.030,0.988,0.122,0.000,2.502
0.125,0.028,0.989,1.770,-0.366,1.526
0.126,0.019,1.001,3.540,-1.282,0.244
0.129,0.006,1.005,3.784,-1.831,-0.793
0.132,-0.009,1.005,3.601,-1.709,-1.587
0.131,-0.018,1.003,3.479,-1.831,-1.404
0.131,-0.020,1.009,3.540,-1.892,-1.343
0.130,-0.024,1.021,3.418,-1.953,-1.038
0.128,-0.023,1.019,2.625,-1.404,-0.793
0.128,-0.027,1.012,1.709,-0.793,-0.549
0.128,-0.031,1.010,0.916,-0.671,-0.305
0.129,-0.029,1.005,-0.305,-0.427,0.366
0.129,-0.026,1.006,-0.732,-0.488,0.610
0.128,-0.019,1.010,-1.099,-0.549,0.610
-0.606,1.760,1.149,90.332,-18.982,-195.435
-0.664,1.496,1.286,128.723,-26.001,-271.423
-0.669,1.016,1.231,127.319,-11.658,-332.031
-0.571,0.437,1.167,107.300,0.366,-374.939
-0.443,-0.060,1.130,73.547,11.047,-395.081
-0.395,-0.381,1.104,26.367,22.461,-394.897
-0.256,-0.658,0.983,-15.686,34.790,-384.155
-0.192,-0.846,0.894,-38.513,42.969,-368.652
-0.118,-0.960,0.841,-44.983,47.241,-344.299
-0.056,-0.979,0.835,-47.180,49.927,-313.416
-0.016,-1.119,0.848,-56.885,37.598,-252.808
0.087,-1.233,0.955,-53.406,22.461,-223.022
0.187,-1.428,1.076,-42.175,10.071,-187.317
0.290,-1.639,1.155,-27.649,5.920,-144.409
0.408,-1.886,1.167,-11.047,7.751,-92.957
0.500,-2.018,1.140,7.690,14.038,-30.518
0.538,-2.038,1.152,23.865,23.254,40.649
0.451,-1.839,1.224,20.813,34.180,117.920
0.217,-1.461,1.022,-7.996,53.223,189.575
0.058,-1.025,0.809,-33.813,64.636,244.019
0.011,-0.793,0.742,-36.682,58.594,279.663
0.044,-0.706,0.737,-38.086,48.767,304.626
0.023,-0.687,0.710,-47.363,42.175,325.684
-0.056,-0.599,0.697,-62.439,34.729,346.619
-0.108,-0.464,0.693,-69.946,26.184,366.943
-0.199,-0.281,0.789,-66.223,20.447,384.766
-0.337,0.006,0.901,-57.312,19.775,399.536
-0.504,0.331,0.922,-45.105,23.437,405.029
-0.880,0.763,1.373,-20.325,29.846,397.888
-0.467,1.015,0.634,5.371,58.594,374.451
-0.699,1.055,1.147,43.213,3.845,323.425
-0.452,1.213,1.224,61.646,-3.113,289.551
-0.314,1.232,1.104,59.509,3.235,241.638
-0.222,1.186,0.931,55.664,10.681,189.148
-0.165,1.125,0.872,64.392,8.362,141.052
-0.099,1.090,0.851,71.350,3.906,98.206
-0.044,1.031,0.879,73.975,-3.052,55.054
-0.077,1.035,0.895,73.120,-12.024,13.245
-0.266,1.206,0.932,68.970,-22.766,-25.940
-0.369,1.432,0.820,70.862,-26.123,-75.012
-0.496,1.725,0.834,96.130,-33.142,-140.686
-0.629,1.692,1.010,143.860,-43.091,-220.886
-0.688,1.270,1.000,180.420,-46.326,-297.974
-0.587,0.730,0.975,185.730,-45.715,-358.459
-0.466,0.039,1.129,164.856,-43.213,-400.818
-0.383,-0.445,1.172,119.019,-24.841,-417.969
-0.336,-0.750,1.174,61.157,0.610,-411.743
-0.347,-0.877,1.264,3.906,11.841,-389.893
-0.298,-1.044,1.302,-44.373,21.484,-361.084
-0.202,-1.363,1.362,-61.523,30.334,-329.346
-0.014,-1.777,1.317,-46.143,42.725,-292.542
0.178,-2.041,1.167,-36.926,57.678,-241.699
0.297,-2.096,0.963,-44.189,67.078,-175.964
0.348,-2.016,0.806,-58.167,65.613,-104.553
0.343,-1.801,0.767,-63.416,56.702,-35.400
0.354,-1.596,0.666,-57.007,50.354,22.034
0.277,-1.434,0.745,-44.128,39.368,68.481
0.244,-1.418,0.991,-25.757,29.419,109.436
0.191,-1.343,1.168,-23.132,30.334,152.466
0.116,-1.215,1.184,-40.222,38.757,195.679
0.062,-1.108,1.162,-59.143,49.133,233.643
-0.012,-0.986,1.007,-74.890,61.829,267.761
-0.093,-0.777,0.842,-90.576,70.068,300.781
-0.199,-0.523,0.624,-99.365,72.754,327.698
-0.546,-0.176,0.804,-97.412,59.326,345.398
-0.093,0.157,0.241,-94.360,63.782,355.957
-0.445,0.462,0.912,-90.332,19.470,350.220
-0.393,0.827,1.069,-92.102,-0.732,341.125
-0.348,1.073,1.065,-97.839,12.329,284.668
-0.334,1.476,0.796,-89.661,15.503,235.901
-0.282,1.479,0.680,-66.284,16.541,181.091
-0.130,1.472,0.537,-35.156,21.851,130.493
-0.112,1.383,0.563,-4.700,13.733,81.360
0.000,1.174,0.594,22.034,1.770,37.170
0.018,0.918,0.674,43.152,-11.047,1.648
-0.020,0.684,0.902,59.509,-25.330,-23.315
0.070,0.421,0.923,76.538,-20.996,-38.574
0.120,0.163,1.007,96.558,-14.771,-46.570
0.177,-0.045,1.070,112.061,-9.155,-46.753
0.208,-0.175,1.053,116.638,-1.648,-40.466
0.210,-0.234,1.071,114.868,-0.061,-31.006
0.233,-0.257,1.026,107.117,1.160,-21.057
0.237,-0.240,1.022,94.971,0.061,-12.512
0.245,-0.221,1.004,81.055,-0.732,-6.226
0.241,-0.205,1.017,66.284,-3.052,-2.869
0.231,-0.202,1.035,51.819,-5.737,-1.770
0.230,-0.189,1.060,22.217,-7.874,-0.671
0.191,-0.160,1.070,11.353,-8.057,-0.671
0.180,-0.144,1.040,1.465,-5.920,-0.610
0.175,-0.123,1.031,-4.211,-4.517,0.244
0.166,-0.093,1.041,-6.226,-3.784,1.465
0.152,-0.056,1.021,-6.775,-2.136,2.930
0.145,-0.014,1.019,-7.141,-1.221,4.272
